rouge1,rouge2,rougeL,rougeLsum,loop,mode
1.0,1.0,1.0,1.0,0,0
0.39836368777000586,0.148651706234331,0.22409497484419993,0.33409566207650665,1,0
0.3836175768620344,0.13564675676624433,0.22003412743480494,0.32860288630021117,2,0
0.3881536389953776,0.133442300289901,0.2167285120195907,0.3298475410188426,3,0
0.37004196928114297,0.12942642587509534,0.21264951610265936,0.3142199434089162,4,0
0.37579092584414514,0.1216616660272733,0.20626916452331656,0.32011253836072495,5,0
0.35838732060730083,0.1166078078898551,0.20239070545290827,0.3097310065397203,6,0
0.3494586609846852,0.11083943667627694,0.19785629168721852,0.2962139719862442,7,0
0.36232711994041633,0.1128937599490796,0.20304781690612722,0.3073873439685575,8,0
0.3541501923058096,0.10936855969753989,0.19847782009490927,0.30032539084288573,9,0
0.39836368777000586,0.148651706234331,0.22409497484419993,0.33409566207650665,1,n-1
0.48232210599449193,0.24926593515775708,0.3195127376174158,0.4313636542240071,2,n-1
0.5353131873279782,0.2936644807218367,0.35998253216446574,0.4805783779964623,3,n-1
0.5396135066103886,0.303594929286485,0.37357438348121813,0.4899454898989903,4,n-1
0.5432967287421081,0.3178171609683782,0.3746471759186219,0.48951855160551394,5,n-1
0.5465005664515223,0.3236763323957731,0.38683890123460274,0.49645429631652327,6,n-1
0.5457559865219683,0.3219802160570719,0.39083598876581294,0.4953955018586436,7,n-1
0.5501628815212513,0.331154230152105,0.39215153989716356,0.4958252023286749,8,n-1
0.5387348221074613,0.31387891589513506,0.3805073906688185,0.4876877591926796,9,n-1
